200, .093
200, .056
200, .058
200, .056
200, .057
200, .056
200, .056
200, .061
200, .058
200, .056
400, .105
400, .105
400, .108
400, .105
400, .107
400, .106
400, .106
400, .105
400, .111
400, .109
600, .163
600, .157
600, .166
600, .250
600, .157
600, .151
600, .150
600, .149
600, .148
600, .149
800, .196
800, .195
800, .199
800, .200
800, .197
800, .197
800, .196
800, .200
800, .201
800, .198
1000, .248
1000, .246
1000, .249
1000, .251
1000, .255
1000, .253
1000, .250
1000, .244
1000, .242
1000, .243
1200, .291
1200, .290
1200, .293
1200, .295
1200, .300
1200, .292
1200, .295
1200, .295
1200, .298
1200, .295
1400, .347
1400, .347
1400, .347
1400, .341
1400, .344
1400, .344
1400, .343
1400, .343
1400, .349
1400, .341
1600, .391
1600, .396
1600, .389
1600, .394
1600, .393
1600, .389
1600, .401
1600, .391
1600, .391
1600, .392
1800, .441
1800, .446
1800, .439
1800, .443
1800, .455
1800, .521
1800, .487
1800, .475
1800, .449
1800, .455
2000, .500
2000, .501
2000, .503
2000, .489
2000, .485
2000, .489
2000, .486
2000, .498
2000, .483
2000, .490
